Female_ID,Latitude,Longitude
81,40.61234,-96.75864
9,40.61235,-96.75682
85,40.61236,-96.75861
123,40.61237,-96.75862
96,40.61237,-96.75862
97,40.61237,-96.75863
11,40.61238,-96.75864
188,40.61238,-96.75867
114,40.61239,-96.75866
73,40.61237,-96.75855
126,40.61238,-96.75872
87,40.61237,-96.75855
183,40.6124,-96.75867
191,40.61237,-96.75853
185,40.61235,-96.75851
23,40.61241,-96.75867
190,40.61237,-96.75852
163,40.61242,-96.75867
129,40.61236,-96.75851
130,40.61237,-96.75851
141,40.61241,-96.7587
60,40.61241,-96.7587
133,40.6124,-96.75873
187,40.61241,-96.75871
83,40.61242,-96.75862
149,40.61242,-96.75858
173,40.61243,-96.75869
135,40.61243,-96.75865
72,40.6124,-96.75852
59,40.61244,-96.75866
147,40.61242,-96.75854
137,40.61243,-96.75869
150,40.61243,-96.75858
91,40.61244,-96.75864
154,40.6124,-96.75851
27,40.61243,-96.75869
104,40.61244,-96.75864
152,40.61243,-96.75856
180,40.61243,-96.75856
181,40.61245,-96.75864
170,40.61245,-96.75865
31,40.61243,-96.75872
171,40.61245,-96.75866
80,40.61241,-96.75877
155,40.61243,-96.75874
151,40.61244,-96.75857
145,40.61241,-96.7585
146,40.61244,-96.75855
105,40.61245,-96.7586
42,40.61244,-96.75856
128,40.61244,-96.75874
32,40.61244,-96.75873
189,40.61246,-96.75862
148,40.61245,-96.75855
142,40.61245,-96.75855
109,40.61241,-96.75847
39,40.61247,-96.7587
169,40.61243,-96.7588
197,40.61245,-96.75875
162,40.61248,-96.7586
121,40.61246,-96.75854
122,40.61248,-96.75862
136,40.61246,-96.75875
35,40.61247,-96.75876
153,40.61249,-96.75861
44,40.61248,-96.75856
167,40.61248,-96.75875
106,40.61249,-96.75855
168,40.61248,-96.75876
186,40.61246,-96.7588
195,40.61246,-96.75881
165,40.61246,-96.75881
166,40.61248,-96.75878
139,40.61246,-96.75882
134,40.61246,-96.75882
192B,40.61248,-96.7588
196,40.61249,-96.75877
120,40.61247,-96.75846
157,40.61249,-96.75847
192A,40.61252,-96.75849
158,40.61251,-96.75845
67,40.61253,-96.75848
68,40.61255,-96.75847
159,40.61254,-96.75842
160,40.61255,-96.75844
184,40.61255,-96.75844
