site,Latitude,Longitude
109,40.61241,-96.75848
120,40.61245,-96.75847
157,40.61246,-96.75847
158,40.61247,-96.75845
159,40.6125,-96.75845
160,40.61252,-96.75844
184,40.61253,-96.75844
68,40.61253,-96.75846
67,40.61251,-96.75847
192a,40.61251,-96.75848
121,40.61245,-96.75855
106,40.61248,-9675856
44,40.61247,-96.75855
146,40.61243,-96.75854
147,40.61241,-96.75855
149,40.61241,-96.75858
150,40.61242,-96.75858
151,40.61243,-96.75858
148,40.61243,-96.75857
142,40.61243,-96.75857
42,40.61242,-96.75857
180,40.61241,-96.75858
152,40.61242,-96.7586
162,40.61247,-96.75862
122,40.61246,-96.75862
153,40.61246,-96.75863
105,40.61243,-96.75862
189,40.61242,-96.75861
181,40.61242,-96.75865
170,40.61242,-96.75865
171,40.61242,-96.75866
104,40.61242,-96.75863
91,40.61242,-96.75864
135,40.61242,-96.75864
59,40.61242,-96.75865
83,40.61241,-96.75864
163,40.6124,-96.75867
114,40.61239,-96.75866
183,40.61238,-96.75867
188,40.61237,-96.75867
11,40.61237,-96.75866
97,40.61237,-96.75865
96,40.61237,-96.75864
123,40.61236,-96.75862
81,40.61232,-96.75865
126,40.61237,-96.75872
80,40.61239,-96.75877
164,40.61241,-96.75881
139,40.61243,-96.75883
134,40.61244,-96.75883
165,40.61246,-96.75882
186,40.61246,-96.7588
166,40.61247,-96.75879
192b,40.61248,-96.75879
196,40.6125,-96.75876
168,40.61248,-96.75876
167,40.61248,-96.75875
35,40.61245,-96.75876
136,40.61245,-96.75876
197,40.61244,-96.75875
128,40.61243,-96.75875
32,40.61243,-96.75874
155,40.61242,-96.75874
31,40.61243,-96.75872
39,40.61246,-96.75869
27,40.61243,-96.75869
137,40.61243,-96.75869
173,40.61241,-96.75868
141,40.6124,-96.75869
187,40.6124,-96.75871
133,40.61239,-96.75873
181,40.61237,-96.7587
9,40.61233,-96.75863
85,40.61232,-96.75862
73,40.61234,-96.75857
87,40.61234,-96.75857
191,40.61235,-96.75855
190,40.61235,-96.75854
185,40.61233,-96.75853
129,40.61235,-96.75852
130,40.61237,-96.75852
154,40.61238,-96.75851
72,40.61238,-96.75852
145,40.61239,-96.7585
9,40.61235,-96.75863
