Site,lat,long
96,40.612292,-96.75845
94,40.612277,-96.758431
91,40.612229,-96.758388
291,40.612236,-96.758389
114,40.612226,-96.758386
60,40.612209,-96.758412
260,40.612222,-96.758411
128,40.612198,-96.758411
115,40.612198,-96.758385
70,40.612184,-96.758366
116,40.612151,-96.758407
56,40.612121,-96.758432
76,40.61211,-96.758432
87,40.612074,-96.75843
86,40.612072,-96.758433
142,40.612094,-96.758448
117,40.612104,-96.758437
52,40.612109,-96.758447
36,40.612152,-96.758446
10,40.612195,-96.758442
155,40.612178,-96.758462
109,40.612196,-96.758453
309,40.612167,-96.758461
54,40.612216,-96.758451
53,40.612223,-96.758455
43,40.612272,-96.758466
100,40.612282,-96.758456
31,40.612217,-96.758506
118,40.612213,-96.758491
190,40.612224,-96.758476
191,40.612229,-96.758468
126,40.612215,-96.758471
119,40.612213,-96.758466
97,40.612198,-96.758467
110,40.612144,-96.758476
310,40.612136,-96.758477
140,40.612138,-96.758466
8,40.612085,-96.758488
45,40.612083,-96.758486
120,40.61216,-96.758487
44,40.612158,-96.758499
171,40.612232,-96.758528
103,40.61217,-96.758512
113,40.612166,-96.758508
121,40.612141,-96.758512
143,40.612141,-96.758517
15,40.612128,-96.758517
215,40.612113,-96.758508
46,40.612124,-96.758537
167,40.61212,-96.758532
122,40.612039,-96.75854
170,40.612055,-96.758568
104,40.612063,-96.758559
20,40.612089,-96.758566
112,40.612101,-96.758583
123,40.612089,-96.758548
144,40.612109,-96.758549
193,40.612153,-96.758541
24,40.612168,-96.758554
224,40.61216,-96.758554
24,40.612168,-96.758555
224,40.61216,-96.758554
107,40.61218,-96.758541
78,40.61218,-96.758536
150,40.612158,-96.758564
350,40.612159,-96.758573
79,40.612174,-96.758626
279,40.612166,-96.758621
151,40.612181,-96.758668
152,40.612185,-96.758671
28,40.612188,-96.758706
124,40.612192,-96.758709
