Site,Latitude,Longitude
96,40.61231,-96.75837
94,40.6123,-96.75837
91,40.61225,-96.7583
114,40.61224,-96.7583
60,40.61222,-96.75832
115,40.61221,-96.75827
128,40.61223,-96.75831
70,40.61219,-96.75826
116,40.61217,-96.75832
56,40.61215,-96.75835
76,40.61214,-96.75836
87,40.6121,-96.75836
86,40.6121,-96.75836
142,40.61212,-96.7584
52,40.61214,-96.75839
117,40.61214,-96.75838
36,40.61219,-96.75837
10,40.61222,-96.75837
109,40.61222,-96.75839
54,40.61224,-96.75838
53,40.61225,-96.75838
43,40.61229,-96.7584
100,40.6123,-96.75839
31,40.61223,-96.75834
118,40.61223,-96.75842
190,40.61224,-96.75841
191,40.61224,-96.7584
119,40.61223,-96.7584
126,40.61223,-96.7584
97,40.61221,-96.75839
110,40.61216,-96.7584
140,40.61216,-96.75839
8,40.61211,-96.75841
45,40.61211,-96.75841
44,40.61218,-96.75843
120,40.61218,-96.75842
171,40.61225,-96.75846
103,40.61218,-96.75844
113,40.61218,-96.75843
143,40.61216,-96.75843
121,40.61216,-96.75844
15,40.61215,-96.75844
169,40.61216,-96.75844
122,40.61208,-96.75847
170,40.6121,-96.75851
104,40.61211,-96.75851
123,40.61212,-96.7585
20,40.61212,-96.7585
22,40.61213,-96.75851
112,40.61213,-96.75851
144,40.61215,-96.7585
46,40.61215,-96.75847
193,40.61217,-96.75847
24,40.61218,-96.75848
107,40.61219,-96.75848
78,40.61219,-96.75848
150,40.61217,-96.75851
79,40.61221,-96.75854
151,40.61222,-96.7586
152,40.61223,-96.75862
124,40.61222,-96.75867
28,40.61222,-96.75867
